"","name","label"
"1","idauniq","Unique individual serial number"
"2","headldr","ADL: difficulty dressing, including putting on shoes and socks"
"3","headlwa","ADL: difficulty walking across a room"
"4","headlba","ADL: difficulty bathing or showering"
"5","headlea","ADL: difficulty eating, such as cutting up food"
"6","headlbe","ADL: difficulty getting in and out of bed"
"7","headlwc","ADL: difficulty using the toilet, including getting up or down"
"8","headlma","IADL: difficulty using map to figure out how to get around strange place"
"9","headlda","IADL: recognising when in physical danger"
"10","headlpr","IADL: difficulty preparing a hot meal"
"11","headlsh","IADL: difficulty shopping for groceries"
"12","headlte","IADL: difficulty making telephone calls"
"13","headlco","IADL: communication (speech, hearing or eyesight)"
"14","headlme","IADL: difficulty taking medications"
"15","headlho","IADL: difficulty doing work around house and garden"
"16","headlmo","IADL: difficulty managing money, eg paying bills,keeping track expenses"
"17","headl96","ADL&IADL: whether said had none of listed difficulties"
"18","idahhw5","Analytical Wave 5 household serial number"
"19","perid","Household Number (PersNo)"
"20","samptyp","Sampling status at Wave 5"
"21","finstatw5","Final status after Wave 5 interview"
"22","w5indout","Wave 5 individual outcome codes"
"23","W5hhout","Wave 5 household outcome codes"
"24","couple","Relationship status (derived from household grid)"
"25","cpid","Person number of partner"
"26","chinhh","Whether respondent has a child in the household"
"27","chouthh","Whether respondent has a child outside the household"
"28","gcinhh","Whether respondent has a grandchild in the household"
"29","mainhh","Whether the mother of the respondent is in the household"
"30","painhh","Whether the father of the respondent is in the household"
"31","hhtot","Number of people in household / computed (HHTot)"
"32","whoso1","No-one other than respondent and interviewer in the room"
"33","whoso2","Whether spouse or partner of respondent was also in the room"
"34","whoso3","Whether other household member (adult) was also in the room"
"35","whoso4","Whether other household member (child) was also in the room"
"36","whoso5","Whether someone who was not a household member was also in the room"
"37","concur","Whether interview was concurrent or not"
"38","ordcon","Person number of first person interviewed concurrently"
"39","futype","Financial unit type"
"40","hhresp","person who answered the Household Grid. (QHD.DhResp)"
"41","dhsameh","Whether or not household is at same address as Wave 2 interview"
"42","dhsex","Respondent sex from household grid"
"43","dhdobc","Whether confirms date of birth recorded at Wave 3"
"44","dhwork","Whether respondent was in paid employment (last week) (from household grid)"
"45","dhr","Relationship of this person to Person 1 in the household"
"46","dhr2","Relationship of this person to Person 2 in the household"
"47","dhr3","Relationship of this person to Person 3 in the household"
"48","dhr4","Relationship of this person to Person 4 in the household"
"49","dhr5","Relationship of this person to Person 5 in the household"
"50","dhr6","Relationship of this person to Person 6 in the household"
"51","dhr7","Relationship of this person to Person 7 in the household"
"52","dhr8","Relationship of this person to Person 8 in the household"
"53","dhr9","Relationship of this person to Person 9 in the household"
"54","dhr10","Relationship of this person to Person 10 in the household"
"55","dhr11","Relationship of this person to Person 11 in the household"
"56","dhr12","Relationship of this person to Person 12 in the household"
"57","dhr13","Relationship of this person to Person 13 in the household"
"58","dhr14","Relationship of this person to Person 14 in the household"
"59","dhr15","Relationship of this person to Person 15 in the household"
"60","dhr16","Relationship of this person to Person 16 in the household"
"61","DhPA","Person number of Parent A for 1st child"
"62","DhPB","Person number of Parent B for 1st child"
"63","DhC","Children Grid: Child number within these parents (first child, second child etc)"
"64","DhCS","Children Grid: Sex of Child 1"
"65","DhCAg","Children Grid: Age of Child 1"
"66","DHCR01","Relationship of 1st child to 1st person in household"
"67","DHCR02","Relationship of 1st child to 2nd person in household"
"68","DHCR03","Relationship of 1st child to 3rd person in household"
"69","DHCR04","Relationship of 1st child to 4th person in household"
"70","DHCR05","Relationship of 1st child to 5th person in household"
"71","DHCR06","Relationship of 1st child to 6th person in household"
"72","DHCR07","Relationship of 1st child to 7th person in household"
"73","DHCR08","Relationship of 1st child to 8th person in household"
"74","DHCR09","Relationship of 1st child to 9th person in household"
"75","DHCR10","Relationship of 1st child to 10th person in household"
"76","DHCR11","Relationship of 1st child to 11th person in household"
"77","DHCR12","Relationship of 1st child to 12th person in household"
"78","DHCR13","Relationship of 1st child to 13th person in household"
"79","DHCR14","Relationship of 1st child to 14th person in household"
"80","DHCR15","Relationship of 1st child to 15th person in household"
"81","DHCR16","Relationship of 1st child to 16th person in household"
"82","DhPA2","Person number of Parent A for 2nd child"
"83","DhPB2","Person number of Parent B for 2nd child"
"84","DhC2","Children Grid: Child number within these parents (first child, second child etc)"
"85","DhCS2","Children Grid: Sex of Child 2"
"86","DHDoBC2","Whether confirms date of birth recorded at Wave 3"
"87","DhCAg2","Children Grid: Age of Child 2"
"88","DHCR17","Relationship of 2nd child to 1st person in household"
"89","DHCR18","Relationship of 2nd child to 2nd person in household"
"90","DHCR19","Relationship of 2nd child to 3rd person in household"
"91","DHCR20","Relationship of 2nd child to 4th person in household"
"92","DHCR21","Relationship of 2nd child to 5th person in household"
"93","DHCR22","Relationship of 2nd child to 6th person in household"
"94","DHCR23","Relationship of 2nd child to 7th person in household"
"95","DHCR24","Relationship of 2nd child to 8th person in household"
"96","DHCR25","Relationship of 2nd child to 9th person in household"
"97","DHCR26","Relationship of 2nd child to 10th person in household"
"98","DHCR27","Relationship of 2nd child to 11th person in household"
"99","DHCR28","Relationship of 2nd child to 12th person in household"
"100","DHCR29","Relationship of 2nd child to 13th person in household"
"101","DHCR30","Relationship of 2nd child to 14th person in household"
"102","DHCR31","Relationship of 2nd child to 15th person in household"
"103","DHCR32","Relationship of 2nd child to 16th person in household"
"104","DhPA3","Person number of Parent A for 3rd child"
"105","DhPB3","Person number of Parent B for 3rd child"
"106","DhC3","Children Grid: Child number within these parents (first child, second child etc)"
"107","DhCS3","Children Grid: Sex of Child 3"
"108","DHDoBC3","Whether confirms date of birth recorded at Wave 3"
"109","DhCAg3","Children Grid: Age of Child 3"
"110","DHCR33","Relationship of 3rd child to 1st person in household"
"111","DHCR34","Relationship of 3rd child to 2nd person in household"
"112","DHCR35","Relationship of 3rd child to 3rd person in household"
"113","DHCR36","Relationship of 3rd child to 4th person in household"
"114","DHCR37","Relationship of 3rd child to 5th person in household"
"115","DHCR38","Relationship of 3rd child to 6th person in household"
"116","DHCR39","Relationship of 3rd child to 7th person in household"
"117","DHCR40","Relationship of 3rd child to 8th person in household"
"118","DHCR41","Relationship of 3rd child to 9th person in household"
"119","DHCR42","Relationship of 3rd child to 10th person in household"
"120","DHCR43","Relationship of 3rd child to 11th person in household"
"121","DHCR44","Relationship of 3rd child to 12th person in household"
"122","DHCR45","Relationship of 3rd child to 13th person in household"
"123","DHCR46","Relationship of 3rd child to 14th person in household"
"124","DHCR47","Relationship of 3rd child to 15th person in household"
"125","DHCR48","Relationship of 3rd child to 16th person in household"
"126","DhPA4","Person number of Parent A for 4th child"
"127","DhPB4","Person number of Parent B for 4th child"
"128","DhC4","Children Grid: Child number within these parents (first child, second child etc)"
"129","DhCS4","Children Grid: Sex of Child 4"
"130","DHDoBC4","Whether confirms date of birth recorded at Wave 3"
"131","DhCAg4","Children Grid: Age of Child 4"
"132","DHCR49","Relationship of 4th child to 1st person in household"
"133","DHCR50","Relationship of 4th child to 2nd person in household"
"134","DHCR51","Relationship of 4th child to 3rd person in household"
"135","DHCR52","Relationship of 4th child to 4th person in household"
"136","DHCR53","Relationship of 4th child to 5th person in household"
"137","DHCR54","Relationship of 4th child to 6th person in household"
"138","DHCR55","Relationship of 4th child to 7th person in household"
"139","DHCR56","Relationship of 4th child to 8th person in household"
"140","DHCR57","Relationship of 4th child to 9th person in household"
"141","DHCR58","Relationship of 4th child to 10th person in household"
"142","DHCR59","Relationship of 4th child to 11th person in household"
"143","DHCR60","Relationship of 4th child to 12th person in household"
"144","DHCR61","Relationship of 4th child to 13th person in household"
"145","DHCR62","Relationship of 4th child to 14th person in household"
"146","DHCR63","Relationship of 4th child to 15th person in household"
"147","DHCR64","Relationship of 4th child to 16th person in household"
"148","DhPA5","Person number of Parent A for 5th child"
"149","DhPB5","Person number of Parent B for 5th child"
"150","DhC5","Children Grid: Child number within these parents (first child, second child etc)"
"151","DhCS5","Children Grid: Sex of Child 5"
"152","DHDoBC5","Whether confirms date of birth recorded at Wave 3"
"153","DhCAg5","Children Grid: Age of Child 5"
"154","DHCR65","Relationship of 5th child to 1st person in household"
"155","DHCR66","Relationship of 5th child to 2nd person in household"
"156","DHCR67","Relationship of 5th child to 3rd person in household"
"157","DHCR68","Relationship of 5th child to 4th person in household"
"158","DHCR69","Relationship of 5th child to 5th person in household"
"159","DHCR70","Relationship of 5th child to 6th person in household"
"160","DHCR71","Relationship of 5th child to 7th person in household"
"161","DHCR72","Relationship of 5th child to 8th person in household"
"162","DHCR73","Relationship of 5th child to 9th person in household"
"163","DHCR74","Relationship of 5th child to 10th person in household"
"164","DHCR75","Relationship of 5th child to 11th person in household"
"165","DHCR76","Relationship of 5th child to 12th person in household"
"166","DHCR77","Relationship of 5th child to 13th person in household"
"167","DHCR78","Relationship of 5th child to 14th person in household"
"168","DHCR79","Relationship of 5th child to 15th person in household"
"169","DHCR80","Relationship of 5th child to 16th person in household"
"170","DhPA6","Person number of Parent A for 6th child"
"171","DhPB6","Person number of Parent B for 6th child"
"172","DhC6","Children Grid: Child number within these parents (first child, second child etc)"
"173","DhCS6","Children Grid: Sex of Child 6"
"174","DHDoBC6","Whether confirms date of birth recorded at Wave 3"
"175","DhCAg6","Children Grid: Age of Child 6"
"176","DHCR81","Relationship of 6th child to 1st person in household"
"177","DHCR82","Relationship of 6th child to 2nd person in household"
"178","DHCR83","Relationship of 6th child to 3rd person in household"
"179","DHCR84","Relationship of 6th child to 4th person in household"
"180","DHCR85","Relationship of 6th child to 5th person in household"
"181","DHCR86","Relationship of 6th child to 6th person in household"
"182","DHCR87","Relationship of 6th child to 7th person in household"
"183","DHCR88","Relationship of 6th child to 8th person in household"
"184","DHCR89","Relationship of 6th child to 9th person in household"
"185","DHCR90","Relationship of 6th child to 10th person in household"
"186","DHCR91","Relationship of 6th child to 11th person in household"
"187","DHCR92","Relationship of 6th child to 12th person in household"
"188","DHCR93","Relationship of 6th child to 13th person in household"
"189","DHCR94","Relationship of 6th child to 14th person in household"
"190","DHCR95","Relationship of 6th child to 15th person in household"
"191","DHCR96","Relationship of 6th child to 16th person in household"
"192","DhPA7","Person number of Parent A for 7th child"
"193","DhPB7","Person number of Parent B for 7th child"
"194","DhC7","Children Grid: Child number within these parents (first child, second child etc)"
"195","DhCS7","Children Grid: Sex of Child 7"
"196","DHDoBC7","Whether confirms date of birth recorded at Wave 3"
"197","DhCAg7","Children Grid: Age of Child 7"
"198","DHCR97","Relationship of 7th child to 1st person in household"
"199","DHCR98","Relationship of 7th child to 2nd person in household"
"200","DHCR99","Relationship of 7th child to 3rd person in household"
"201","DHCR100","Relationship of 7th child to 4th person in household"
"202","DHCR101","Relationship of 7th child to 5th person in household"
"203","DHCR102","Relationship of 7th child to 6th person in household"
"204","DHCR103","Relationship of 7th child to 7th person in household"
"205","DHCR104","Relationship of 7th child to 8th person in household"
"206","DHCR105","Relationship of 7th child to 9th person in household"
"207","DHCR106","Relationship of 7th child to 10th person in household"
"208","DHCR107","Relationship of 7th child to 11th person in household"
"209","DHCR108","Relationship of 7th child to 12th person in household"
"210","DHCR109","Relationship of 7th child to 13th person in household"
"211","DHCR110","Relationship of 7th child to 14th person in household"
"212","DHCR111","Relationship of 7th child to 15th person in household"
"213","DHCR112","Relationship of 7th child to 16th person in household"
"214","DhPA8","Person number of Parent A for 8th child"
"215","DhPB8","Person number of Parent B for 8th child"
"216","DhC8","Children Grid: Child number within these parents (first child, second child etc)"
"217","DhCS8","Children Grid: Sex of Child 8"
"218","DHDoBC8","Whether confirms date of birth recorded at Wave 3"
"219","DhCAg8","Children Grid: Age of Child 8"
"220","DHCR113","Relationship of 8th child to 1st person in household"
"221","DHCR114","Relationship of 8th child to 2nd person in household"
"222","DHCR115","Relationship of 8th child to 3rd person in household"
"223","DHCR116","Relationship of 8th child to 4th person in household"
"224","DHCR117","Relationship of 8th child to 5th person in household"
"225","DHCR118","Relationship of 8th child to 6th person in household"
"226","DHCR119","Relationship of 8th child to 7th person in household"
"227","DHCR120","Relationship of 8th child to 8th person in household"
"228","DHCR121","Relationship of 8th child to 9th person in household"
"229","DHCR122","Relationship of 8th child to 10th person in household"
"230","DHCR123","Relationship of 8th child to 11th person in household"
"231","DHCR124","Relationship of 8th child to 12th person in household"
"232","DHCR125","Relationship of 8th child to 13th person in household"
"233","DHCR126","Relationship of 8th child to 14th person in household"
"234","DHCR127","Relationship of 8th child to 15th person in household"
"235","DHCR128","Relationship of 8th child to 16th person in household"
"236","DhPA9","Person number of Parent A for 9th child"
"237","DhPB9","Person number of Parent B for 9th child"
"238","DhC9","Children Grid: Child number within these parents (first child, second child etc)"
"239","DhCS9","Children Grid: Sex of Child 9"
"240","DHDoBC9","Whether confirms date of birth recorded at Wave 3"
"241","DhCAg9","Children Grid: Age of Child 9"
"242","DHCR129","Relationship of 9th child to 1st person in household"
"243","DHCR130","Relationship of 9th child to 2nd person in household"
"244","DHCR131","Relationship of 9th child to 3rd person in household"
"245","DHCR132","Relationship of 9th child to 4th person in household"
"246","DHCR133","Relationship of 9th child to 5th person in household"
"247","DHCR134","Relationship of 9th child to 6th person in household"
"248","DHCR135","Relationship of 9th child to 7th person in household"
"249","DHCR136","Relationship of 9th child to 8th person in household"
"250","DHCR137","Relationship of 9th child to 9th person in household"
"251","DHCR138","Relationship of 9th child to 10th person in household"
"252","DHCR139","Relationship of 9th child to 11th person in household"
"253","DHCR140","Relationship of 9th child to 12th person in household"
"254","DHCR141","Relationship of 9th child to 13th person in household"
"255","DHCR142","Relationship of 9th child to 14th person in household"
"256","DHCR143","Relationship of 9th child to 15th person in household"
"257","DHCR144","Relationship of 9th child to 16th person in household"
"258","DhPA10","Person number of Parent A for 10th child"
"259","DhPB10","Person number of Parent B for 10th child"
"260","DhC10","Children Grid: Child number within these parents (first child, second child etc)"
"261","DhCS10","Children Grid: Sex of Child 10"
"262","DHDoBC10","Whether confirms date of birth recorded at Wave 3"
"263","DhCAg10","Children Grid: Age of Child 10"
"264","DHCR145","Relationship of 10th child to 1st person in household"
"265","DHCR146","Relationship of 10th child to 2nd person in household"
"266","DHCR147","Relationship of 10th child to 3rd person in household"
"267","DHCR148","Relationship of 10th child to 4th person in household"
"268","DHCR149","Relationship of 10th child to 5th person in household"
"269","DHCR150","Relationship of 10th child to 6th person in household"
"270","DHCR151","Relationship of 10th child to 7th person in household"
"271","DHCR152","Relationship of 10th child to 8th person in household"
"272","DHCR153","Relationship of 10th child to 9th person in household"
"273","DHCR154","Relationship of 10th child to 10th person in household"
"274","DHCR155","Relationship of 10th child to 11th person in household"
"275","DHCR156","Relationship of 10th child to 12th person in household"
"276","DHCR157","Relationship of 10th child to 13th person in household"
"277","DHCR158","Relationship of 10th child to 14th person in household"
"278","DHCR159","Relationship of 10th child to 15th person in household"
"279","DHCR160","Relationship of 10th child to 16th person in household"
"280","DhPA11","Person number of Parent A for 11th child"
"281","DhPB11","Person number of Parent B for 11th child"
"282","DhC11","Children Grid: Child number within these parents (first child, second child etc)"
"283","DhCS11","Children Grid: Sex of Child 11"
"284","DHDoBC11","Whether confirms date of birth recorded at Wave 3"
"285","DhCAg11","Children Grid: Age of Child 11"
"286","DHCR161","Relationship of 11th child to 1st person in household"
"287","DHCR162","Relationship of 11th child to 2nd person in household"
"288","DHCR163","Relationship of 11th child to 3rd person in household"
"289","DHCR164","Relationship of 11th child to 4th person in household"
"290","DHCR165","Relationship of 11th child to 5th person in household"
"291","DHCR166","Relationship of 11th child to 6th person in household"
"292","DHCR167","Relationship of 11th child to 7th person in household"
"293","DHCR168","Relationship of 11th child to 8th person in household"
"294","DHCR169","Relationship of 11th child to 9th person in household"
"295","DHCR170","Relationship of 11th child to 10th person in household"
