"","name","label"
"1","idaindw1","Analytical wave-specific individual serial number"
"2","idahhw1","Analytical wave-specific household serial number"
"3","idauniq","Unique individual serial number"
"4","perid","Person ID (same as person number in household grid)"
"5","finstat","Post-field final type of sample member (including cohort number added)"
"6","indoc","final individual outcome code"
"7","w1wgt","W1 weight for all core SM to account for non-response"
"8","dhsameh","INTERVIEWER: ARE YOU INTERVIEWING AT THE ADDRESS GIVEN ON ARF LABEL?"
"9","hhresp","Person number of HH respondent (HH resp=person who answered household demographics)"
"10","dhsex","ASK OR CODE RESPONDENT~S SEX"
"11","dhdobyr","Year of birth from HH grid collapsed at 90 plus"
"12","dhager","Age variable from HH grid collapsed at 90 plus"
"13","dhr","What is [your/member of household~s] relationship to [person 1] Please choose a number from this card"
"14","dhr2","What is [your/member of household~s] relationship to [person 2] Please choose a number from this card"
"15","dhr3","What is [your/member of household~s] relationship to [person 3] Please choose a number from this card"
"16","dhr4","What is [your/member of household~s] relationship to [person 4] Please choose a number from this card"
"17","dhr5","What is [your/member of household~s] relationship to [person 5] Please choose a number from this card"
"18","dhr6","What is [your/member of household~s] relationship to [person 6] Please choose a number from this card"
"19","dhr7","What is [your/member of household~s] relationship to [person 7] Please choose a number from this card"
"20","dhr8","What is [your/member of household~s] relationship to [person 8] Please choose a number from this card"
"21","dhr9","What is [your/member of household~s] relationship to [person 9] Please choose a number from this card"
"22","dhr10","What is [your/member of household~s] relationship to [person 10] Please choose a number from this card"
"23","dhr11","What is [your/member of household~s] relationship to [person 11] Please choose a number from this card"
"24","dhr12","What is [your/member of household~s] relationship to [person 12] Please choose a number from this card"
"25","dhr13","What is [your/member of household~s] relationship to [person 13] Please choose a number from this card"
"26","dhpa","Children Grid: Person number of First Parent: Parent A"
"27","dhpb","Children Grid: Person number of Second Parent: Parent B"
"28","dhc","Children Grid: Child number within these parents (first child, second child etc)"
"29","dhch","Children Grid: Whether has any living children (who are NOT resident in household): [Do you/Do you and [name]/Does [name]/Does [name] and [name]] have any (other) living children?"
"30","dhnch","Children Grid: Number of living children (NOT resident in household): In total, how many (other) living children [do you/do you and [name]/does [name]/do [name] and [name] have?"
"31","dhcs","Children Grid: Sex of Child 1: INTERVIEWER: CODE OR ASK [name of child~s] SEX"
"32","dhcby","Children Grid: Year of Birth of Child 1: Year of birth: What is [name of child~s] date of birth?"
"33","dhcag","Children Grid: Age of Child 1: What was [name of child~s] age last birthday?"
"34","dhcr01","Children Grid: Relationship of Child 1 to Person 1: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card."
"35","dhcr02","Children Grid: Relationship of Child 1 to Person 2: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card."
"36","dhcr03","Children Grid: Relationship of Child 1 to Person 3: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card."
"37","dhcr04","Children Grid: Relationship of Child 1 to Person 4: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card."
"38","dhcr05","Children Grid: Relationship of Child 1 to Person 5: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card."
"39","dhcr06","Children Grid: Relationship of Child 1 to Person 6: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card."
"40","dhcr07","Children Grid: Relationship of Child 1 to Person 7: What is [name of child~s] relationship to [adult~s name]? Please choose a number from this card."
"41","dhm","Children Grid: Whether has any more living children (who are not resident in household): More for these parents?"
"42","dhc2","Children Grid: Child number within these parents(first child, second child etc)"
"43","dhcs2","Children Grid: Sex of Child 2: INTERVIEWER: CODE OR ASK [name of child~s] SEX"
"44","dhcby02","Children Grid: Year of Birth of Child 2: Year of birth: What is [name of child~s] date of birth?"
