"","name","label"
"1","idauniq","Unique individual serial number"
"2","idahhw3","W3 household analytical serial number"
"3","perid","Person number in the household"
"4","sampsta","Type of sample member"
"5","finstat","Final status at Wave 3"
"6","w3indout","Cleaned individual outcome code"
"7","w3hhout","Cleaned household outcome code"
"8","w3lwgt","Wave 3 longitudinal weight"
"9","w3xwgt","Wave 3 cross sectional weight"
"10","couple","Relationship status (derived from household grid)"
"11","cpid","Person number of partner"
"12","chinhh","Whether respondent has a child in the household"
"13","chouthh","Whether respondent has a child outside the household"
"14","gcinhh","Whether respondent has a grandchild in the household"
"15","mainhh","Whether the mother of the respondent is in the household"
"16","painhh","Whether the father of the respondent is in the household"
"17","hhtot","Number of people in household (computed)"
"18","whoso1","No-one other than respondent and interviewer in the room"
"19","whoso2","Whether spouse or partner of respondent was also in the room"
"20","whoso3","Whether other household member (adult) was also in the room"
"21","whoso4","Whether other household member (child) was also in the room"
"22","whoso5","Whether someone who was not a household member was also in the room"
"23","concur","Whether interview was concurrent or not"
"24","ordcon","Person number of first person interviewed concurrently"
"25","dhsameh","Whether or not household is at same address as Wave 2 interview"
"26","dhsex","Respondent sex from household grid"
"27","dhdobc","Whether confirms date of birth recorded at Wave 2"
"28","dhdobyr","Year of birth collapsed at 90 plus"
"29","dhager","Age collapsed at 90 plus (use INDAGER instead)"
"30","dhwork","Whether respondent was in paid employment (last week) (from household grid)"
"31","dhr","Relationship of this person to Person 1 in the household."
"32","dhr2","Relationship of this person to Person 2 in the household."
"33","dhr3","Relationship of this person to Person 3 in the household."
"34","dhr4","Relationship of this person to Person 4 in the household."
"35","dhr5","Relationship of this person to Person 5 in the household."
"36","dhr6","Relationship of this person to Person 6 in the household."
"37","dhr7","Relationship of this person to Person 7 in the household."
"38","dhr8","Relationship of this person to Person 8 in the household."
"39","dhr9","Relationship of this person to Person 9 in the household."
"40","dhr10","Relationship of this person to Person 10 in the household."
"41","dhr11","Relationship of this person to Person 11 in the household."
"42","dhr12","Relationship of this person to Person 12 in the household."
"43","hhresp","Person number of household grid (HD) respondent"
"44","dhpa","Person number of Parent A for 1st child"
"45","dhpb","Person number of Parent B for 1st child"
"46","dhc","Children Grid: Child number within these parents (first child, second child etc)"
"47","dhcs","Children Grid: Sex of Child 1"
"48","dhcdby1","Children Grid: Year of Birth of Child 1"
"49","dhcag","Children Grid: Age of Child 1"
"50","dhcr01","Relationship of 1st child to 1st person in household"
"51","dhcr02","Relationship of 1st child to 2nd person in household"
"52","dhcr03","Relationship of 1st child to 3rd person in household"
"53","dhcr04","Relationship of 1st child to 4th person in household"
"54","dhcr05","Relationship of 1st child to 5th person in household"
"55","dhcr06","Relationship of 1st child to 6th person in household"
"56","dhcr07","Relationship of 1st child to 7th person in household"
"57","dhcr08","Relationship of 1st child to 8th person in household"
"58","dhcr09","Relationship of 1st child to 9th person in household"
