"","name","label"
"1","idauniq","Unique individual serial number"
"2","idahhw4","Analytical Wave 4 household serial number"
"3","perid","Household Number (PersNo)"
"4","samptyp","Sampling status at Wave 4"
"5","finstat4","Final status after Wave 4 interview"
"6","outindw4","Wave 4 individual outcome code"
"7","outhhw4","Wave 4 household outcome code"
"8","couple","Relationship status (derived from household grid)"
"9","cpid","Person number of partner"
"10","chinhh","Whether respondent has a child in the household"
"11","chouthh","Whether respondent has a child outside the household"
"12","gcinhh","Whether respondent has a grandchild in the household"
"13","mainhh","Whether the mother of the respondent is in the household"
"14","painhh","Whether the father of the respondent is in the household"
"15","hhtot","Number of people in household (computed)"
"16","whoso1","No-one other than respondent and interviewer in the room"
"17","whoso2","Whether spouse or partner of respondent was also in the room"
"18","whoso3","Whether other household member (adult) was also in the room"
"19","whoso4","Whether other household member (child) was also in the room"
"20","whoso5","Whether someone who was not a household member was also in the room"
"21","concur","Whether interview was concurrent or not"
"22","ordcon","Person number of first person interviewed concurrently"
"23","dhsameh","Whether or not household is at same address as Wave 2 interview"
"24","dhsex","Respondent sex from household grid"
"25","dhdobc","Whether confirms date of birth recorded at Wave 3"
"26","dhwork","Whether respondent was in paid employment (last week) (from household grid)"
"27","dhr","Relationship of this person to Person 1 in the household"
"28","dhr2","Relationship of this person to Person 2 in the household"
"29","dhr3","Relationship of this person to Person 3 in the household"
"30","dhr4","Relationship of this person to Person 4 in the household"
"31","dhr5","Relationship of this person to Person 5 in the household"
"32","dhr6","Relationship of this person to Person 6 in the household"
"33","dhr7","Relationship of this person to Person 7 in the household"
"34","dhr8","Relationship of this person to Person 8 in the household"
"35","dhr9","Relationship of this person to Person 9 in the household"
"36","dhr10","Relationship of this person to Person 10 in the household"
"37","dhr11","Relationship of this person to Person 11 in the household"
"38","dhr12","Relationship of this person to Person 12 in the household"
"39","dhr13","Relationship of this person to Person 13 in the household"
"40","dhr14","Relationship of this person to Person 14 in the household"
"41","dhr15","Relationship of this person to Person 15 in the household"
"42","dhr16","Relationship of this person to Person 16 in the household"
"43","hhresp","Person number of household grid (HD) respondent"
"44","dhpa","Person number of Parent A for 1st child"
"45","dhpb","Person number of Parent B for 1st child"
"46","dhc","Children Grid: Child number within these parents (first child, second child etc)"
"47","dhcs","Children Grid: Sex of Child 1"
"48","dhcag","Children Grid: Age of Child 1"
"49","dhcr01","Relationship of 1st child to 1st person in household"
"50","dhcr02","Relationship of 1st child to 2nd person in household"
"51","dhcr03","Relationship of 1st child to 3rd person in household"
"52","dhcr04","Relationship of 1st child to 4th person in household"
"53","dhcr05","Relationship of 1st child to 5th person in household"
"54","dhcr06","Relationship of 1st child to 6th person in household"
"55","dhcr07","Relationship of 1st child to 7th person in household"
"56","dhcr08","Relationship of 1st child to 8th person in household"
"57","dhcr09","Relationship of 1st child to 9th person in household"
"58","dhcr10","Relationship of 1st child to 10th person in household"
"59","dhcr11","Relationship of 1st child to 11th person in household"
"60","dhcr12","Relationship of 1st child to 12th person in household"
"61","dhcr13","Relationship of 1st child to 13th person in household"
"62","dhcr14","Relationship of 1st child to 14th person in household"
"63","dhcr15","Relationship of 1st child to 15th person in household"
"64","dhcr16","Relationship of 1st child to 16th person in household"
"65","dhpa2","Person number of Parent A for 2nd child"
"66","dhpb2","Person number of Parent B for 2nd child"
"67","dhc2","Children Grid: Child number within these parents (first child, second child etc)"
"68","dhcs2","Children Grid: Sex of Child 2"
"69","dhdobc2","Whether confirms date of birth recorded at Wave 3"
"70","dhcag2","Children Grid: Age of Child 2"
"71","dhcr17","Relationship of 2nd child to 1st person in household"
"72","dhcr18","Relationship of 2nd child to 2nd person in household"
"73","dhcr19","Relationship of 2nd child to 3rd person in household"
"74","dhcr20","Relationship of 2nd child to 4th person in household"
"75","dhcr21","Relationship of 2nd child to 5th person in household"
"76","dhcr22","Relationship of 2nd child to 6th person in household"
"77","dhcr23","Relationship of 2nd child to 7th person in household"
"78","dhcr24","Relationship of 2nd child to 8th person in household"
"79","dhcr25","Relationship of 2nd child to 9th person in household"
"80","dhcr26","Relationship of 2nd child to 10th person in household"
"81","dhcr27","Relationship of 2nd child to 11th person in household"
"82","dhcr28","Relationship of 2nd child to 12th person in household"
"83","dhcr29","Relationship of 2nd child to 13th person in household"
"84","dhcr30","Relationship of 2nd child to 14th person in household"
"85","dhcr31","Relationship of 2nd child to 15th person in household"
"86","dhcr32","Relationship of 2nd child to 16th person in household"
"87","dhpa3","Person number of Parent A for 3rd child"
"88","dhpb3","Person number of Parent B for 3rd child"
"89","dhc3","Children Grid: Child number within these parents (first child, second child etc)"
"90","dhcs3","Children Grid: Sex of Child 3"
