"","name","label"
"1","idauniq","Unique individual serial number"
"2","idahhw6","Analytical Wave 6 household serial number"
"3","perid","Household Number (PersNo)"
"4","samptyp","Sampling status at Wave 6"
"5","w6indout","Wave 6 individual outcome code (not updated with mortality)"
"6","W6hhout","@/INTERVIEWER: Enter the final household outcome code. (Admin.Out3d)"
"7","couple","Relationship status (derived from household grid)"
"8","cpid","Person number of partner"
"9","chinhh","Whether respondent has a child in the household"
"10","chouthh","Whether respondent has a child outside the household"
"11","gcinhh","Whether respondent has a grandchild in the household"
"12","mainhh","Whether the mother of the respondent is in the household"
"13","painhh","Whether the father of the respondent is in the household"
"14","HHTot","Number of people in household / computed (HHTot)"
"15","WhoSo1","No-one other than respondent and interviewer in the room"
"16","WhoSo2","Whether spouse or partner of respondent was also in the room"
"17","WhoSo3","Whether other household member (adult) was also in the room"
"18","WhoSo4","Whether other household member (child) was also in the room"
"19","WhoSo5","Whether someone who was not a household member was also in the room"
"20","concur","Whether interview was concurrent or not"
"21","ordcon","Person number of first person interviewed concurrently"
"22","futype","Financial unit type"
"23","hhresp","person who answered the Household Grid. (QHD.DhResp)"
"24","DhSameH","whether interviewing at same address as last time (QHD.DhSameH)"
"25","DhSex","Respondent sex from household grid"
"26","DhDoBC","Whether confirms date of birth recorded at Wave 3"
"27","DhWork","Whether respondent was in paid employment (last week) (from household grid)"
"28","DhR","Relationship of this person to Person 1 in the household"
"29","DhR2","Relationship of this person to Person 2 in the household"
"30","DhR3","Relationship of this person to Person 3 in the household"
"31","DhR4","Relationship of this person to Person 4 in the household"
"32","DhR5","Relationship of this person to Person 5 in the household"
"33","DhR6","Relationship of this person to Person 6 in the household"
"34","DhR7","Relationship of this person to Person 7 in the household"
"35","DhR8","Relationship of this person to Person 8 in the household"
"36","DhR9","Relationship of this person to Person 9 in the household"
"37","DhR10","Relationship of this person to Person 10 in the household"
"38","DhR11","Relationship of this person to Person 11 in the household"
"39","DhR12","Relationship of this person to Person 12 in the household"
"40","DhR13","Relationship of this person to Person 13 in the household"
"41","DhR14","Relationship of this person to Person 14 in the household"
"42","DhR15","Relationship of this person to Person 15 in the household"
"43","DhR16","Relationship of this person to Person 16 in the household"
"44","DhPA","Person number of Parent A for 1st child"
"45","DhPB","Person number of Parent B for 1st child"
"46","DhC","Children Grid: Child number within these parents (first child, second child etc)"
"47","DhCS","Children Grid: Sex of Child 1"
"48","DhCAg","Children Grid: Age of Child 1"
"49","DHCR01","Relationship of 1st child to 1st person in household"
"50","DHCR02","Relationship of 1st child to 2nd person in household"
"51","DHCR03","Relationship of 1st child to 3rd person in household"
"52","DHCR04","Relationship of 1st child to 4th person in household"
"53","DHCR05","Relationship of 1st child to 5th person in household"
"54","DHCR06","Relationship of 1st child to 6th person in household"
"55","DHCR07","Relationship of 1st child to 7th person in household"
"56","DHCR08","Relationship of 1st child to 8th person in household"
"57","DHCR09","Relationship of 1st child to 9th person in household"
"58","DHCR10","Relationship of 1st child to 10th person in household"
"59","DHCR11","Relationship of 1st child to 11th person in household"
"60","DHCR12","Relationship of 1st child to 12th person in household"
"61","DHCR13","Relationship of 1st child to 13th person in household"
"62","DHCR14","Relationship of 1st child to 14th person in household"
"63","DHCR15","Relationship of 1st child to 15th person in household"
"64","DHCR16","Relationship of 1st child to 16th person in household"
"65","DhPA2","Person number of Parent A for 2nd child"
"66","DhPB2","Person number of Parent B for 2nd child"
"67","DhC2","Children Grid: Child number within these parents (first child, second child etc)"
"68","DhCS2","Children Grid: Sex of Child 2"
"69","DHDoBC2","Whether confirms date of birth recorded at Wave 3"
"70","DhCAg2","Children Grid: Age of Child 2"
"71","DHCR17","Relationship of 2nd child to 1st person in household"
"72","DHCR18","Relationship of 2nd child to 2nd person in household"
"73","DHCR19","Relationship of 2nd child to 3rd person in household"
"74","DHCR20","Relationship of 2nd child to 4th person in household"
"75","DHCR21","Relationship of 2nd child to 5th person in household"
"76","DHCR22","Relationship of 2nd child to 6th person in household"
"77","DHCR23","Relationship of 2nd child to 7th person in household"
"78","DHCR24","Relationship of 2nd child to 8th person in household"
"79","DHCR25","Relationship of 2nd child to 9th person in household"
"80","DHCR26","Relationship of 2nd child to 10th person in household"
"81","DHCR27","Relationship of 2nd child to 11th person in household"
"82","DHCR28","Relationship of 2nd child to 12th person in household"
"83","DHCR29","Relationship of 2nd child to 13th person in household"
"84","DHCR30","Relationship of 2nd child to 14th person in household"
"85","DHCR31","Relationship of 2nd child to 15th person in household"
"86","DHCR32","Relationship of 2nd child to 16th person in household"
"87","DhPA3","Person number of Parent A for 3rd child"
"88","DhPB3","Person number of Parent B for 3rd child"
"89","DhC3","Children Grid: Child number within these parents (first child, second child etc)"
"90","DhCS3","Children Grid: Sex of Child 3"
"91","DHDoBC3","Whether confirms date of birth recorded at Wave 3"
"92","DhCAg3","Children Grid: Age of Child 3"
"93","DHCR33","Relationship of 3rd child to 1st person in household"
"94","DHCR34","Relationship of 3rd child to 2nd person in household"
"95","DHCR35","Relationship of 3rd child to 3rd person in household"
"96","DHCR36","Relationship of 3rd child to 4th person in household"
"97","DHCR37","Relationship of 3rd child to 5th person in household"
"98","DHCR38","Relationship of 3rd child to 6th person in household"
"99","DHCR39","Relationship of 3rd child to 7th person in household"
"100","DHCR40","Relationship of 3rd child to 8th person in household"
"101","DHCR41","Relationship of 3rd child to 9th person in household"
"102","DHCR42","Relationship of 3rd child to 10th person in household"
"103","DHCR43","Relationship of 3rd child to 11th person in household"
"104","DHCR44","Relationship of 3rd child to 12th person in household"
"105","DHCR45","Relationship of 3rd child to 13th person in household"
"106","DHCR46","Relationship of 3rd child to 14th person in household"
"107","DHCR47","Relationship of 3rd child to 15th person in household"
"108","DHCR48","Relationship of 3rd child to 16th person in household"
"109","DhPA4","Person number of Parent A for 4th child"
"110","DhPB4","Person number of Parent B for 4th child"
"111","DhC4","Children Grid: Child number within these parents (first child, second child etc)"
"112","DhCS4","Children Grid: Sex of Child 4"
"113","DHDoBC4","Whether confirms date of birth recorded at Wave 3"
"114","DhCAg4","Children Grid: Age of Child 4"
"115","DHCR49","Relationship of 4th child to 1st person in household"
"116","DHCR50","Relationship of 4th child to 2nd person in household"
"117","DHCR51","Relationship of 4th child to 3rd person in household"
"118","DHCR52","Relationship of 4th child to 4th person in household"
"119","DHCR53","Relationship of 4th child to 5th person in household"
"120","DHCR54","Relationship of 4th child to 6th person in household"
"121","DHCR55","Relationship of 4th child to 7th person in household"
"122","DHCR56","Relationship of 4th child to 8th person in household"
"123","DHCR57","Relationship of 4th child to 9th person in household"
"124","DHCR58","Relationship of 4th child to 10th person in household"
"125","DHCR59","Relationship of 4th child to 11th person in household"
"126","DHCR60","Relationship of 4th child to 12th person in household"
"127","DHCR61","Relationship of 4th child to 13th person in household"
"128","DHCR62","Relationship of 4th child to 14th person in household"
"129","DHCR63","Relationship of 4th child to 15th person in household"
"130","DHCR64","Relationship of 4th child to 16th person in household"
"131","DhPA5","Person number of Parent A for 5th child"
"132","DhPB5","Person number of Parent B for 5th child"
"133","DhC5","Children Grid: Child number within these parents (first child, second child etc)"
"134","DhCS5","Children Grid: Sex of Child 5"
"135","DHDoBC5","Whether confirms date of birth recorded at Wave 3"
"136","DhCAg5","Children Grid: Age of Child 5"
"137","DHCR65","Relationship of 5th child to 1st person in household"
"138","DHCR66","Relationship of 5th child to 2nd person in household"
"139","DHCR67","Relationship of 5th child to 3rd person in household"
"140","DHCR68","Relationship of 5th child to 4th person in household"
"141","DHCR69","Relationship of 5th child to 5th person in household"
"142","DHCR70","Relationship of 5th child to 6th person in household"
"143","DHCR71","Relationship of 5th child to 7th person in household"
"144","DHCR72","Relationship of 5th child to 8th person in household"
"145","DHCR73","Relationship of 5th child to 9th person in household"
"146","DHCR74","Relationship of 5th child to 10th person in household"
"147","DHCR75","Relationship of 5th child to 11th person in household"
"148","DHCR76","Relationship of 5th child to 12th person in household"
"149","DHCR77","Relationship of 5th child to 13th person in household"
"150","DHCR78","Relationship of 5th child to 14th person in household"
"151","DHCR79","Relationship of 5th child to 15th person in household"
"152","DHCR80","Relationship of 5th child to 16th person in household"
"153","DhPA6","Person number of Parent A for 6th child"
"154","DhPB6","Person number of Parent B for 6th child"
"155","DhC6","Children Grid: Child number within these parents (first child, second child etc)"
"156","DhCS6","Children Grid: Sex of Child 6"
"157","DHDoBC6","Whether confirms date of birth recorded at Wave 3"
"158","DhCAg6","Children Grid: Age of Child 6"
"159","DHCR81","Relationship of 6th child to 1st person in household"
"160","DHCR82","Relationship of 6th child to 2nd person in household"
"161","DHCR83","Relationship of 6th child to 3rd person in household"
"162","DHCR84","Relationship of 6th child to 4th person in household"
"163","DHCR85","Relationship of 6th child to 5th person in household"
"164","DHCR86","Relationship of 6th child to 6th person in household"
"165","DHCR87","Relationship of 6th child to 7th person in household"
"166","DHCR88","Relationship of 6th child to 8th person in household"
"167","DHCR89","Relationship of 6th child to 9th person in household"
"168","DHCR90","Relationship of 6th child to 10th person in household"
"169","DHCR91","Relationship of 6th child to 11th person in household"
"170","DHCR92","Relationship of 6th child to 12th person in household"
"171","DHCR93","Relationship of 6th child to 13th person in household"
"172","DHCR94","Relationship of 6th child to 14th person in household"
"173","DHCR95","Relationship of 6th child to 15th person in household"
"174","DHCR96","Relationship of 6th child to 16th person in household"
"175","DhPA7","Person number of Parent A for 7th child"
"176","DhPB7","Person number of Parent B for 7th child"
"177","DhC7","Children Grid: Child number within these parents (first child, second child etc)"
"178","DhCS7","Children Grid: Sex of Child 7"
"179","DHDoBC7","Whether confirms date of birth recorded at Wave 3"
"180","DhCAg7","Children Grid: Age of Child 7"
"181","DHCR97","Relationship of 7th child to 1st person in household"
"182","DHCR98","Relationship of 7th child to 2nd person in household"
"183","DHCR99","Relationship of 7th child to 3rd person in household"
"184","DHCR100","Relationship of 7th child to 4th person in household"
"185","DHCR101","Relationship of 7th child to 5th person in household"
"186","DHCR102","Relationship of 7th child to 6th person in household"
"187","DHCR103","Relationship of 7th child to 7th person in household"
"188","DHCR104","Relationship of 7th child to 8th person in household"
"189","DHCR105","Relationship of 7th child to 9th person in household"
"190","DHCR106","Relationship of 7th child to 10th person in household"
"191","DHCR107","Relationship of 7th child to 11th person in household"
"192","DHCR108","Relationship of 7th child to 12th person in household"
"193","DHCR109","Relationship of 7th child to 13th person in household"
"194","DHCR110","Relationship of 7th child to 14th person in household"
"195","DHCR111","Relationship of 7th child to 15th person in household"
"196","DHCR112","Relationship of 7th child to 16th person in household"
"197","DhPA8","Person number of Parent A for 8th child"
"198","DhPB8","Person number of Parent B for 8th child"
"199","DhC8","Children Grid: Child number within these parents (first child, second child etc)"
"200","DhCS8","Children Grid: Sex of Child 8"
"201","DHDoBC8","Whether confirms date of birth recorded at Wave 3"
"202","DhCAg8","Children Grid: Age of Child 8"
"203","DHCR113","Relationship of 8th child to 1st person in household"
"204","DHCR114","Relationship of 8th child to 2nd person in household"
"205","DHCR115","Relationship of 8th child to 3rd person in household"
"206","DHCR116","Relationship of 8th child to 4th person in household"
"207","DHCR117","Relationship of 8th child to 5th person in household"
"208","DHCR118","Relationship of 8th child to 6th person in household"
"209","DHCR119","Relationship of 8th child to 7th person in household"
"210","DHCR120","Relationship of 8th child to 8th person in household"
"211","DHCR121","Relationship of 8th child to 9th person in household"
"212","DHCR122","Relationship of 8th child to 10th person in household"
"213","DHCR123","Relationship of 8th child to 11th person in household"
"214","DHCR124","Relationship of 8th child to 12th person in household"
"215","DHCR125","Relationship of 8th child to 13th person in household"
"216","DHCR126","Relationship of 8th child to 14th person in household"
"217","DHCR127","Relationship of 8th child to 15th person in household"
"218","DHCR128","Relationship of 8th child to 16th person in household"
"219","DhPA9","Person number of Parent A for 9th child"
"220","DhPB9","Person number of Parent B for 9th child"
"221","DhC9","Children Grid: Child number within these parents (first child, second child etc)"
"222","DhCS9","Children Grid: Sex of Child 9"
"223","DHDoBC9","Whether confirms date of birth recorded at Wave 3"
"224","DhCAg9","Children Grid: Age of Child 9"
"225","DHCR129","Relationship of 9th child to 1st person in household"
"226","DHCR130","Relationship of 9th child to 2nd person in household"
"227","DHCR131","Relationship of 9th child to 3rd person in household"
"228","DHCR132","Relationship of 9th child to 4th person in household"
"229","DHCR133","Relationship of 9th child to 5th person in household"
"230","DHCR134","Relationship of 9th child to 6th person in household"
"231","DHCR135","Relationship of 9th child to 7th person in household"
"232","DHCR136","Relationship of 9th child to 8th person in household"
"233","DHCR137","Relationship of 9th child to 9th person in household"
"234","DHCR138","Relationship of 9th child to 10th person in household"
"235","DHCR139","Relationship of 9th child to 11th person in household"
"236","DHCR140","Relationship of 9th child to 12th person in household"
"237","DHCR141","Relationship of 9th child to 13th person in household"
"238","DHCR142","Relationship of 9th child to 14th person in household"
"239","DHCR143","Relationship of 9th child to 15th person in household"
"240","DHCR144","Relationship of 9th child to 16th person in household"
"241","DhPA10","Person number of Parent A for 10th child"
"242","DhPB10","Person number of Parent B for 10th child"
"243","DhC10","Children Grid: Child number within these parents (first child, second child etc)"
"244","DhCS10","Children Grid: Sex of Child 10"
"245","DHDoBC10","Whether confirms date of birth recorded at Wave 3"
"246","DhCAg10","Children Grid: Age of Child 10"
"247","DHCR145","Relationship of 10th child to 1st person in household"
"248","DHCR146","Relationship of 10th child to 2nd person in household"
"249","DHCR147","Relationship of 10th child to 3rd person in household"
"250","DHCR148","Relationship of 10th child to 4th person in household"
"251","DHCR149","Relationship of 10th child to 5th person in household"
"252","DHCR150","Relationship of 10th child to 6th person in household"
"253","DHCR151","Relationship of 10th child to 7th person in household"
"254","DHCR152","Relationship of 10th child to 8th person in household"
"255","DHCR153","Relationship of 10th child to 9th person in household"
"256","DHCR154","Relationship of 10th child to 10th person in household"
"257","DHCR155","Relationship of 10th child to 11th person in household"
"258","DHCR156","Relationship of 10th child to 12th person in household"
"259","DHCR157","Relationship of 10th child to 13th person in household"
